"polygon_id","Forest_t0","Agriculture_t0","Urban_t0","Grassland_t0","Other_t0","Area_Total_t0","forest_sp_t0","agriculture_sp_t0","generalist_sp_t0","Sp_Total_t0","Forest_t1","Agriculture_t1","Urban_t1","Grassland_t1","Other_t1","Area_Total_t1","forest_sp_t1","agriculture_sp_t1","generalist_sp_t1","Sp_Total_t1","delta_forest_sp","delta_agriculture_sp","delta_generalist_sp"
"1_101",98340000,1959360000,22360000,141770000,278170000,2.5e+09,32,29,70,131,79960000,1949090000,4.5e+07,85190000,340760000,2.5e+09,25,19,68,112,-7,-10,-2
"1_102",484810000,1199410000,11930000,25590000,778260000,2.5e+09,25,24,52,101,597340000,1217810000,20650000,54580000,609620000,2.5e+09,17,11,59,87,-8,-13,7
"1_103",461670000,762440000,2350000,248340000,1025200000,2.5e+09,30,26,64,120,495730000,836660000,7380000,314860000,845370000,2.5e+09,23,18,68,109,-7,-8,4
"1_104",316930000,922020000,6240000,479020000,775790000,2.5e+09,32,28,73,133,391010000,1080370000,10690000,416740000,601190000,2.5e+09,23,15,61,99,-9,-13,-12
"1_105",182410000,1916400000,42340000,82270000,276580000,2.5e+09,34,33,67,134,270240000,1802550000,59350000,180440000,187420000,2.5e+09,28,23,73,124,-6,-10,6
"1_106",225940000,778480000,24650000,14640000,1456290000,2.5e+09,34,27,68,129,218760000,663520000,44120000,43240000,1530360000,2.5e+09,25,17,68,110,-9,-10,0
"1_107",136790000,750710000,8090000,3450000,1600960000,2.5e+09,31,29,61,121,162640000,583640000,19030000,100140000,1634550000,2.5e+09,25,16,62,103,-6,-13,1
"1_108",243730000,1931720000,24280000,32910000,267360000,2.5e+09,30,24,48,102,206750000,1913800000,44800000,100800000,233850000,2.5e+09,19,15,54,88,-11,-9,6
"1_109",177050000,1994850000,80140000,31270000,216690000,2.5e+09,30,24,68,122,144930000,1989240000,126550000,64400000,174880000,2.5e+09,25,17,68,110,-5,-7,0
"1_110",244300000,1492620000,6280000,13100000,743700000,2.5e+09,33,28,64,125,204330000,1515170000,10260000,303550000,466690000,2.5e+09,21,17,62,100,-12,-11,-2
"1_111",486270000,918480000,7740000,4290000,1083220000,2.5e+09,32,30,57,119,446810000,900080000,24050000,249420000,879640000,2.5e+09,21,12,57,90,-11,-18,0
"1_112",115310000,1762410000,11470000,75820000,534990000,2.5e+09,32,28,61,121,2.46e+08,1700290000,19960000,147990000,385760000,2.5e+09,18,18,59,95,-14,-10,-2
"1_113",16930000,2052630000,34230000,17090000,379120000,2.5e+09,30,27,63,120,74790000,1985290000,56490000,93270000,290160000,2.5e+09,27,19,69,115,-3,-8,6
"1_114",58830000,457090000,35410000,0,1948670000,2.5e+09,36,27,69,132,95100000,428510000,59720000,139280000,1777390000,2.5e+09,22,19,63,104,-14,-8,-6
"1_115",498960000,1372050000,6470000,3080000,619440000,2.5e+09,32,28,61,121,479700000,1153680000,13330000,347260000,506030000,2.5e+09,24,12,58,94,-8,-16,-3
"1_116",580420000,709350000,3910000,2640000,1203680000,2.5e+09,28,24,50,102,6.43e+08,684390000,5900000,225160000,941550000,2.5e+09,17,8,54,79,-11,-16,4
"1_117",333500000,1458870000,3310000,12960000,691360000,2.5e+09,24,23,52,99,366020000,1394490000,5110000,253870000,480510000,2.5e+09,16,9,47,72,-8,-14,-5
"1_118",310490000,1387510000,5520000,119670000,676810000,2.5e+09,33,27,53,113,587690000,1228040000,10820000,315010000,358440000,2.5e+09,21,13,61,95,-12,-14,8
"1_119",729220000,196780000,23150000,484020000,1066830000,2.5e+09,27,32,57,116,798820000,199300000,33920000,320520000,1147440000,2.5e+09,15,12,50,77,-12,-20,-7
"1_120",73210000,1241440000,98990000,3340000,1083020000,2.5e+09,35,26,67,128,125380000,1131410000,156770000,189490000,896950000,2.5e+09,27,18,73,118,-8,-8,6
"1_121",307800000,1374150000,23120000,0,794930000,2.5e+09,25,23,54,102,424860000,1273470000,33810000,507930000,259930000,2.5e+09,24,13,60,97,-1,-10,6
"1_122",135390000,1658220000,155370000,41480000,509540000,2.5e+09,36,32,79,147,169180000,1389290000,219390000,516570000,205570000,2.5e+09,30,22,76,128,-6,-10,-3
"1_123",527380000,1449160000,5210000,12700000,505550000,2.5e+09,30,22,57,109,732110000,1314550000,11180000,134040000,308120000,2.5e+09,18,10,52,80,-12,-12,-5
"1_124",538780000,1018480000,19950000,0,922790000,2.5e+09,29,23,63,115,475490000,881890000,32260000,269110000,841250000,2.5e+09,20,12,57,89,-9,-11,-6
"1_125",465950000,762500000,8840000,6790000,1255920000,2.5e+09,29,23,56,108,637290000,661610000,16600000,320530000,863970000,2.5e+09,22,14,64,100,-7,-9,8
"1_126",772010000,471320000,2940000,98510000,1155220000,2.5e+09,31,23,52,106,1009100000,289830000,3670000,618530000,578870000,2.5e+09,18,15,58,91,-13,-8,6
"1_127",739550000,581680000,1110000,30220000,1147440000,2.5e+09,31,27,67,125,1031050000,465970000,4690000,273160000,725130000,2.5e+09,19,16,59,94,-12,-11,-8
"1_128",209990000,901850000,115750000,33840000,1238570000,2.5e+09,30,26,60,116,404490000,583170000,170520000,503700000,838120000,2.5e+09,24,14,70,108,-6,-12,10
"1_129",56430000,987090000,240870000,7e+05,1214910000,2.5e+09,32,30,81,143,64350000,830940000,324200000,114450000,1166060000,2.5e+09,29,24,81,134,-3,-6,0
"1_130",46080000,1244970000,83640000,1150000,1124160000,2.5e+09,34,27,72,133,80850000,1113790000,143980000,181250000,980130000,2.5e+09,26,16,69,111,-8,-11,-3
"1_131",457390000,956260000,64640000,650000,1021060000,2.5e+09,35,30,77,142,536490000,688490000,104810000,309140000,861070000,2.5e+09,25,18,68,111,-10,-12,-9
"1_132",378300000,508300000,4670000,656220000,952510000,2.5e+09,32,36,78,146,463330000,428390000,18300000,717750000,872230000,2.5e+09,23,17,66,106,-9,-19,-12
"1_133",201010000,1774140000,45880000,411030000,67940000,2.5e+09,39,36,80,155,103080000,1743410000,74820000,485700000,92990000,2.5e+09,26,21,68,115,-13,-15,-12
"1_134",626350000,1255410000,39620000,132860000,445760000,2.5e+09,37,35,73,145,579300000,880160000,94440000,378750000,567350000,2.5e+09,24,18,71,113,-13,-17,-2
"1_135",363600000,386730000,2460000,536460000,1210750000,2.5e+09,35,34,76,145,449190000,340460000,15920000,318750000,1375680000,2.5e+09,25,17,65,107,-10,-17,-11
"1_136",568290000,406610000,42240000,5.64e+08,918860000,2.5e+09,37,34,75,146,915490000,273480000,61770000,531530000,717730000,2.5e+09,23,15,64,102,-14,-19,-11
"1_137",143580000,2241420000,12120000,60380000,42500000,2.5e+09,34,30,69,133,159370000,2185960000,28820000,61870000,63980000,2.5e+09,26,18,65,109,-8,-12,-4
