"Forest","Agriculture","Urban","Grassland","Other","Area_Total","natural_sp","human_dominated_sp","Sp_Total"
493280000,381280000,49220000,381820000,1194400000,2.5e+09,38,99,137
163570000,14880000,3870000,167620000,2150060000,2.5e+09,37,91,128
557430000,297160000,41190000,470110000,1134110000,2.5e+09,34,88,122
209010000,49380000,8820000,510560000,1722230000,2.5e+09,29,81,110
156150000,1840000,330000,234440000,2107240000,2.5e+09,33,86,119
363840000,75840000,9470000,296960000,1753890000,2.5e+09,31,78,109
163200000,79670000,15090000,591120000,1650920000,2.5e+09,33,77,110
8440000,8e+06,1750000,27720000,2249530000,2295440000,28,77,105
0,3460000,3280000,280010000,2135870000,2422620000,29,73,102
498310000,1391960000,30540000,1e+06,578190000,2.5e+09,29,99,128
87260000,927460000,20910000,50000,1460580000,2496260000,36,101,137
432410000,1518100000,8800000,0,540690000,2.5e+09,35,103,138
721560000,1.181e+09,20360000,25080000,5.52e+08,2.5e+09,38,96,134
787760000,788790000,4960000,37320000,881170000,2.5e+09,31,112,143
119500000,2124240000,23200000,2600000,230460000,2.5e+09,39,110,149
857570000,825600000,87890000,534480000,194460000,2.5e+09,34,94,128
799770000,56840000,8350000,613370000,1021670000,2.5e+09,32,105,137
588660000,1743570000,24290000,81570000,61910000,2.5e+09,29,71,100
335090000,1866830000,30370000,251480000,16230000,2.5e+09,25,65,90
753320000,1445200000,66620000,200120000,34740000,2.5e+09,28,81,109
494210000,1771290000,58040000,124230000,52230000,2.5e+09,27,69,96
524660000,1577950000,138830000,2.36e+08,22560000,2.5e+09,38,98,136
789680000,1507410000,26190000,143850000,32870000,2.5e+09,32,78,110
571150000,1465850000,56320000,270000,406410000,2.5e+09,36,97,133
1230000,270240000,14070000,250000,1759410000,2045200000,42,113,155
377830000,1082940000,169820000,1420000,867990000,2.5e+09,28,91,119
851910000,435350000,3860000,174800000,1034080000,2.5e+09,37,111,148
192080000,1950050000,39550000,9e+05,317420000,2.5e+09,36,103,139
1308340000,266900000,6190000,219830000,698740000,2.5e+09,30,107,137
952400000,976260000,58500000,473770000,39070000,2.5e+09,35,101,136
827670000,38910000,6120000,791620000,835680000,2.5e+09,33,104,137
726960000,1221090000,44140000,440340000,67470000,2.5e+09,33,103,136
851500000,75740000,9110000,567710000,995940000,2.5e+09,34,97,131
154910000,2159130000,67520000,82230000,36210000,2.5e+09,31,84,115
166470000,2096320000,28060000,179410000,29740000,2.5e+09,28,73,101
422080000,1818480000,72220000,127540000,59680000,2.5e+09,34,94,128
156220000,1899420000,361990000,33680000,48690000,2.5e+09,29,83,112
1129760000,995940000,33960000,295910000,44430000,2.5e+09,31,84,115
478240000,1709850000,52730000,234030000,25150000,2.5e+09,26,74,100
1102720000,807920000,45860000,447400000,96100000,2.5e+09,38,91,129
1042150000,875510000,30360000,341770000,210210000,2.5e+09,30,85,115
697500000,834140000,53090000,869150000,46120000,2.5e+09,37,95,132
1129970000,1054290000,62590000,215240000,37910000,2.5e+09,30,79,109
769590000,624260000,124710000,913080000,68360000,2.5e+09,38,87,125
661150000,1034520000,67080000,716650000,20600000,2.5e+09,36,85,121
561200000,1688760000,75730000,140090000,34220000,2.5e+09,38,96,134
266730000,1233270000,32230000,931880000,35890000,2.5e+09,36,88,124
540120000,1150530000,43390000,657580000,108380000,2.5e+09,45,110,155
351710000,942120000,33960000,1144450000,27760000,2.5e+09,37,93,130
521550000,1484550000,128110000,330400000,35390000,2.5e+09,40,98,138
