"cellID","Forest_t0","Agriculture_t0","Urban_t0","Grassland_t0","Other_t0","Area_Total_t0","forest_sp_t0","agriculture_sp_t0","generalist_sp_t0","Sp_Total_t0","Forest_t1","Agriculture_t1","Urban_t1","Grassland_t1","Other_t1","Area_Total_t1","forest_sp_t1","agriculture_sp_t1","generalist_sp_t1","Sp_Total_t1","deltaT","deltaS_F","deltaS_A","deltaS_O"
"size_1_109",144930000,1989240000,126550000,64400000,174880000,2.5e+09,30,24,68,122,144930000,1989240000,126550000,64400000,174880000,2.5e+09,25,17,68,110,0.5,-5,-7,0
"size_1_110",204330000,1515170000,10260000,303550000,466690000,2.5e+09,33,28,64,125,204330000,1515170000,10260000,303550000,466690000,2.5e+09,21,17,62,100,0.5,-12,-11,-2
"size_1_111",446810000,900080000,24050000,249420000,879640000,2.5e+09,32,30,57,119,446810000,900080000,24050000,249420000,879640000,2.5e+09,21,12,57,90,0.5,-11,-18,0
"size_1_112",2.46e+08,1700290000,19960000,147990000,385760000,2.5e+09,32,28,61,121,2.46e+08,1700290000,19960000,147990000,385760000,2.5e+09,18,18,59,95,0.5,-14,-10,-2
"size_1_113",74790000,1985290000,56490000,93270000,290160000,2.5e+09,30,27,63,120,74790000,1985290000,56490000,93270000,290160000,2.5e+09,27,19,69,115,0.5,-3,-8,6
"size_1_114",95100000,428510000,59720000,139280000,1777390000,2.5e+09,36,27,69,132,95100000,428510000,59720000,139280000,1777390000,2.5e+09,22,19,63,104,0.5,-14,-8,-6
"size_1_115",479700000,1153680000,13330000,347260000,506030000,2.5e+09,32,28,61,121,479700000,1153680000,13330000,347260000,506030000,2.5e+09,24,12,58,94,0.5,-8,-16,-3
"size_1_116",6.43e+08,684390000,5900000,225160000,941550000,2.5e+09,28,24,50,102,6.43e+08,684390000,5900000,225160000,941550000,2.5e+09,17,8,54,79,0.5,-11,-16,4
"size_1_117",366020000,1394490000,5110000,253870000,480510000,2.5e+09,24,23,52,99,366020000,1394490000,5110000,253870000,480510000,2.5e+09,16,9,47,72,0.5,-8,-14,-5
"size_1_118",587690000,1228040000,10820000,315010000,358440000,2.5e+09,33,27,53,113,587690000,1228040000,10820000,315010000,358440000,2.5e+09,21,13,61,95,0.5,-12,-14,8
"size_1_119",798820000,199300000,33920000,320520000,1147440000,2.5e+09,27,32,57,116,798820000,199300000,33920000,320520000,1147440000,2.5e+09,15,12,50,77,0.5,-12,-20,-7
"size_1_120",125380000,1131410000,156770000,189490000,896950000,2.5e+09,35,26,67,128,125380000,1131410000,156770000,189490000,896950000,2.5e+09,27,18,73,118,0.5,-8,-8,6
"size_1_121",424860000,1273470000,33810000,507930000,259930000,2.5e+09,25,23,54,102,424860000,1273470000,33810000,507930000,259930000,2.5e+09,24,13,60,97,0.5,-1,-10,6
"size_1_122",169180000,1389290000,219390000,516570000,205570000,2.5e+09,36,32,79,147,169180000,1389290000,219390000,516570000,205570000,2.5e+09,30,22,76,128,0.5,-6,-10,-3
"size_1_123",732110000,1314550000,11180000,134040000,308120000,2.5e+09,30,22,57,109,732110000,1314550000,11180000,134040000,308120000,2.5e+09,18,10,52,80,0.5,-12,-12,-5
"size_1_124",475490000,881890000,32260000,269110000,841250000,2.5e+09,29,23,63,115,475490000,881890000,32260000,269110000,841250000,2.5e+09,20,12,57,89,0.5,-9,-11,-6
"size_1_125",637290000,661610000,16600000,320530000,863970000,2.5e+09,29,23,56,108,637290000,661610000,16600000,320530000,863970000,2.5e+09,22,14,64,100,0.5,-7,-9,8
"size_1_126",1009100000,289830000,3670000,618530000,578870000,2.5e+09,31,23,52,106,1009100000,289830000,3670000,618530000,578870000,2.5e+09,18,15,58,91,0.5,-13,-8,6
"size_1_127",1031050000,465970000,4690000,273160000,725130000,2.5e+09,31,27,67,125,1031050000,465970000,4690000,273160000,725130000,2.5e+09,19,16,59,94,0.5,-12,-11,-8
"size_1_128",404490000,583170000,170520000,503700000,838120000,2.5e+09,30,26,60,116,404490000,583170000,170520000,503700000,838120000,2.5e+09,24,14,70,108,0.5,-6,-12,10
"size_1_129",64350000,830940000,324200000,114450000,1166060000,2.5e+09,32,30,81,143,64350000,830940000,324200000,114450000,1166060000,2.5e+09,29,24,81,134,0.5,-3,-6,0
"size_1_130",80850000,1113790000,143980000,181250000,980130000,2.5e+09,34,27,72,133,80850000,1113790000,143980000,181250000,980130000,2.5e+09,26,16,69,111,0.5,-8,-11,-3
"size_1_131",536490000,688490000,104810000,309140000,861070000,2.5e+09,35,30,77,142,536490000,688490000,104810000,309140000,861070000,2.5e+09,25,18,68,111,0.5,-10,-12,-9
"size_1_132",463330000,428390000,18300000,717750000,872230000,2.5e+09,32,36,78,146,463330000,428390000,18300000,717750000,872230000,2.5e+09,23,17,66,106,0.5,-9,-19,-12
"size_1_133",103080000,1743410000,74820000,485700000,92990000,2.5e+09,39,36,80,155,103080000,1743410000,74820000,485700000,92990000,2.5e+09,26,21,68,115,0.5,-13,-15,-12
"size_1_134",579300000,880160000,94440000,378750000,567350000,2.5e+09,37,35,73,145,579300000,880160000,94440000,378750000,567350000,2.5e+09,24,18,71,113,0.5,-13,-17,-2
"size_1_135",449190000,340460000,15920000,318750000,1375680000,2.5e+09,35,34,76,145,449190000,340460000,15920000,318750000,1375680000,2.5e+09,25,17,65,107,0.5,-10,-17,-11
"size_1_136",915490000,273480000,61770000,531530000,717730000,2.5e+09,37,34,75,146,915490000,273480000,61770000,531530000,717730000,2.5e+09,23,15,64,102,0.5,-14,-19,-11
"size_1_137",159370000,2185960000,28820000,61870000,63980000,2.5e+09,34,30,69,133,159370000,2185960000,28820000,61870000,63980000,2.5e+09,26,18,65,109,0.5,-8,-12,-4
"size_1_138",142120000,1847340000,25440000,247590000,237510000,2.5e+09,36,28,73,137,142120000,1847340000,25440000,247590000,237510000,2.5e+09,24,19,68,111,0.5,-12,-9,-5
"size_1_139",977820000,1298490000,47690000,69670000,106330000,2.5e+09,35,26,62,123,977820000,1298490000,47690000,69670000,106330000,2.5e+09,25,19,67,111,0.5,-10,-7,5
"size_1_140",434690000,1393530000,62050000,415730000,1.94e+08,2.5e+09,38,29,76,143,434690000,1393530000,62050000,415730000,1.94e+08,2.5e+09,27,18,71,116,0.5,-11,-11,-5
"size_1_141",55150000,2375850000,17830000,26020000,25150000,2.5e+09,34,28,57,119,55150000,2375850000,17830000,26020000,25150000,2.5e+09,21,17,61,99,0.5,-13,-11,4
"size_1_142",133050000,2230510000,41790000,30940000,63710000,2.5e+09,32,29,68,129,133050000,2230510000,41790000,30940000,63710000,2.5e+09,20,16,67,103,0.5,-12,-13,-1
