"cell50x50","occ_ebba1","SR_ebba1","occ_ebba2","SR_ebba2","deltaSR_birds","occ_m_b2000","SR_m_b2000","occ_m_a2015","SR_m_a2015","deltaSR_mammals","delta_occ_m","deltaT"
"36VWK4",NA,NA,108,108,NA,8,1,14,8,7,6,1.30661156074852
"36VWL1",NA,NA,102,102,NA,NA,NA,1,1,NA,NA,1.37551816201313
"36VWL2",NA,NA,46,46,NA,1,1,4,3,2,3,1.35403383552254
"36VWL3",NA,NA,113,113,NA,NA,NA,17,2,NA,NA,1.36981010127377
"36VWL4",NA,NA,93,93,NA,NA,NA,14,7,NA,NA,1.36968698208792
"36VWM1",3,3,165,165,162,1,1,2,2,1,1,1.38516354669224
"36VWM2",1,1,130,130,129,NA,NA,11,3,NA,NA,1.3848239913069
"36VWM3",1,1,120,120,119,NA,NA,NA,NA,NA,NA,1.38208385182722
"36VWM4",NA,NA,113,113,NA,NA,NA,1,1,NA,NA,1.37537059123382
"36VWN1",1,1,99,99,98,1,1,14,3,2,13,1.45509484878256
"36VWN2",3,3,171,171,168,4,3,13,5,2,9,1.42343005858177
"36VWN3",1,1,123,123,122,NA,NA,1,1,NA,NA,1.43948862821825
"36VWN4",1,1,129,129,128,NA,NA,NA,NA,NA,NA,1.40246211792812
"36VWP1",1,1,122,122,121,NA,NA,21,4,NA,NA,1.47664650313316
"36VWP2",1,1,105,105,104,6,3,20,3,0,14,1.47121362904628
"36VWP3",1,1,156,156,155,13,6,46,12,6,33,1.4629440924217
"36VWP4",1,1,150,150,149,NA,NA,26,10,NA,NA,1.44365766028727
"36VWQ1",1,1,51,51,50,3,2,14,2,0,11,1.51985022175403
"36VWQ2",1,1,135,135,134,NA,NA,41,9,NA,NA,1.50971792200778
"36VWQ3",1,1,126,126,125,3,1,1,1,0,-2,1.49313447717577
"36VWQ4",2,2,126,126,124,1,1,41,7,6,40,1.48857785744096
"36VWR1",1,1,10,10,9,NA,NA,3,1,NA,NA,1.49554567588003
"36VWR2",1,1,119,119,118,1,1,1,1,0,0,1.5177542404695
"36VWR3",1,1,132,132,131,NA,NA,25,6,NA,NA,1.51246242650918
"36VWR4",1,1,121,121,120,NA,NA,3,2,NA,NA,1.51411845602772
"36VXH1",NA,NA,130,130,NA,NA,NA,4,3,NA,NA,1.28757331118606
"36VXH2",NA,NA,115,115,NA,11,5,12,6,1,1,1.30106814099714
"36VXH3",NA,NA,140,140,NA,NA,NA,36,19,NA,NA,1.30474963424899
"36VXH4",115,115,174,174,59,6,1,96,22,21,90,1.28687033560369
"36VXJ1",NA,NA,111,111,NA,NA,NA,8,5,NA,NA,1.26401150053826
"36VXJ2",NA,NA,119,119,NA,NA,NA,23,11,NA,NA,1.24799224580398
"36VXJ3",NA,NA,110,110,NA,NA,NA,3,3,NA,NA,1.27956983808315
