"cell50x50","occ_ebba1","SR_ebba1","occ_ebba2","SR_ebba2","delta_SR"
"31SBD4",NA,54,NA,73,19
"31SBE4",NA,99,NA,75,-24
"31SCC3",NA,NA,NA,46,NA
"31SCD2",NA,NA,NA,27,NA
"31SCD4",NA,NA,NA,69,NA
"31SCE2",NA,NA,NA,6,NA
"31SDD1",NA,NA,NA,40,NA
"31SDD3",NA,NA,NA,82,NA
"31SDD4",NA,NA,NA,42,NA
"31SDE4",NA,NA,NA,63,NA
"31SED1",NA,NA,NA,83,NA
"31SED2",NA,NA,NA,41,NA
"31SEE2",NA,NA,NA,105,NA
"31SEE4",NA,NA,NA,73,NA
"31SFE2",NA,NA,NA,65,NA
"31TBE3",141,141,148,148,7
"31TBF3",142,142,149,149,7
"31TBF4",138,138,144,144,6
"31TBG3",147,147,146,146,-1
"31TBG4",153,153,161,161,8
"31TBH3",132,132,146,146,14
"31TBH4",141,141,133,133,-8
"31TBJ3",104,104,112,112,8
"31TBJ4",94,94,110,110,16
"31TBK3",113,113,115,115,2
"31TBK4",100,100,116,116,16
"31TBL3",140,140,137,137,-3
"31TBL4",114,114,121,121,7
"31TCF1",137,137,138,138,1
"31TCF2",158,158,155,155,-3
"31TCF3",123,123,128,128,5
"31TCG1",152,152,146,146,-6
"31TCG2",143,143,157,157,14
"31TCG3",141,141,144,144,3
"31TCG4",132,132,130,130,-2
"31TCH1",140,140,143,143,3
"31TCH2",141,141,128,128,-13
"31TCH3",140,140,145,145,5
"31TCH4",135,135,133,133,-2
"31TCJ1",119,119,121,121,2
"31TCJ2",105,105,117,117,12
"31TCJ3",132,132,133,133,1
"31TCJ4",116,116,137,137,21
"31TCK1",119,119,128,128,9
"31TCK2",104,104,119,119,15
"31TCK3",133,133,124,124,-9
"31TCK4",119,119,116,116,-3
"31TCL1",136,136,127,127,-9
"31TCL2",113,113,115,115,2
"31TCL3",129,129,129,129,0
"31TCL4",125,125,129,129,4
"31TCM1",138,138,146,146,8
"31TCM2",128,128,152,152,24
"31TCM3",159,159,156,156,-3
"31TCM4",134,134,129,129,-5
"31TCN1",142,142,137,137,-5
"31TCN2",133,133,141,141,8
"31TCN3",145,145,150,150,5
"31TCN4",143,143,147,147,4
"31TDF1",143,143,138,138,-5
"31TDF3",NA,NA,NA,71,NA
"31TDG1",152,152,152,152,0
"31TDG2",133,133,133,133,0
"31TDG3",157,157,148,148,-9
"31TDG4",140,140,134,134,-6
"31TDH1",135,135,140,140,5
"31TDH2",141,141,145,145,4
"31TDH3",151,151,166,166,15
"31TDH4",179,179,178,178,-1
"31TDJ1",129,129,130,130,1
"31TDJ2",130,130,138,138,8
"31TDJ3",130,130,134,134,4
"31TDJ4",134,134,128,128,-6
"31TDK1",116,116,121,121,5
"31TDK2",124,124,131,131,7
"31TDK3",128,128,137,137,9
"31TDK4",125,125,130,130,5
"31TDL1",134,134,125,125,-9
"31TDL2",126,126,127,127,1
"31TDL3",128,128,136,136,8
"31TDL4",124,124,140,140,16
"31TDM1",139,139,142,142,3
"31TDM2",149,149,145,145,-4
"31TDM3",140,140,143,143,3
"31TDM4",147,147,133,133,-14
"31TDN1",153,153,147,147,-6
"31TDN2",134,134,143,143,9
"31TDN3",150,150,147,147,-3
"31TDN4",130,130,148,148,18
"31TEG1",158,158,148,148,-10
"31TEG2",NA,85,NA,110,25
"31TEH1",146,146,156,156,10
"31TEH2",NA,103,NA,151,48
"31TEJ1",157,157,141,141,-16
"31TEJ2",160,160,158,158,-2
"31TEJ3",151,151,136,136,-15
"31TEJ4",162,162,162,162,0
"31TEK1",139,139,139,139,0
"31TEK2",149,149,155,155,6
"31TEK3",142,142,150,150,8
"31TEK4",144,144,139,139,-5
"31TEL1",147,147,147,147,0
"31TEL2",144,144,144,144,0
"31TEL3",157,157,174,174,17
"31TEL4",139,139,159,159,20
"31TEM1",145,145,143,143,-2
"31TEM2",145,145,137,137,-8
"31TEM3",144,144,137,137,-7
"31TEM4",126,126,150,150,24
"31TEN1",146,146,133,133,-13
"31TEN2",140,140,145,145,5
"31TEN3",129,129,135,135,6
"31TEN4",133,133,127,127,-6
"31TFH1",NA,NA,NA,9,NA
"31TFJ1",144,144,134,134,-10
"31TFJ2",167,167,164,164,-3
"31TFJ3",164,164,149,149,-15
"31TFJ4",150,150,166,166,16
"31TFK1",148,148,148,148,0
"31TFK2",149,149,144,144,-5
"31TFK3",161,161,168,168,7
"31TFK4",148,148,147,147,-1
"31TFL1",150,150,161,161,11
"31TFL2",135,135,147,147,12
"31TFL3",172,172,182,182,10
"31TFL4",146,146,155,155,9
"31TFM1",149,149,157,157,8
"31TFM2",136,136,159,159,23
"31TFM3",155,155,154,154,-1
"31TFM4",158,158,175,175,17
"31TFN1",132,132,122,122,-10
"31TFN2",136,136,139,139,3
"31TFN3",134,134,138,138,4
"31TFN4",139,139,158,158,19
"31TGH1",124,124,120,120,-4
"31TGJ1",166,166,152,152,-14
"31TGJ2",154,154,146,146,-8
"31TGK1",153,153,153,153,0
"31TGK2",153,153,155,155,2
