"Forest","Agriculture","Other","Area_Total","natural_sp","human_dominated_sp","Sp_Total"
1121080000,861760000,517160000,2.5e+09,44,113,157
1113230000,867100000,519670000,2.5e+09,38,106,144
412460000,900200000,1187340000,2.5e+09,40,106,146
844380000,824040000,831580000,2.5e+09,36,95,131
625400000,1261060000,613540000,2.5e+09,44,124,168
696810000,1372750000,430440000,2.5e+09,41,101,142
581700000,719750000,1198550000,2.5e+09,42,103,145
668570000,822040000,1009390000,2.5e+09,38,94,132
581990000,1267850000,650160000,2.5e+09,46,105,151
691320000,1033130000,775550000,2.5e+09,44,110,154
1069140000,1030120000,400740000,2.5e+09,36,92,128
788910000,781320000,929770000,2.5e+09,33,99,132
873450000,1160330000,466220000,2.5e+09,39,91,130
725310000,1288770000,485920000,2.5e+09,41,94,135
105270000,54640000,2012330000,2172240000,27,93,120
1088700000,811490000,599810000,2.5e+09,41,121,162
1177680000,717870000,604450000,2.5e+09,39,111,150
1182650000,266250000,1051100000,2.5e+09,37,112,149
1122500000,545770000,831730000,2.5e+09,39,110,149
1084700000,780220000,635080000,2.5e+09,47,110,157
1118820000,598190000,782990000,2.5e+09,43,110,153
1320280000,404490000,775230000,2.5e+09,46,105,151
1096980000,599850000,803170000,2.5e+09,45,103,148
982430000,918280000,599290000,2.5e+09,43,93,136
1078720000,745450000,675830000,2.5e+09,42,95,137
403720000,1217580000,878700000,2.5e+09,35,93,128
397580000,1367530000,734890000,2.5e+09,37,90,127
345130000,1932740000,222130000,2.5e+09,36,90,126
254060000,2117850000,128090000,2.5e+09,32,89,121
357080000,1041620000,1101300000,2.5e+09,42,113,155
412650000,969230000,1118120000,2.5e+09,34,86,120
581230000,1215880000,702890000,2.5e+09,36,97,133
5.27e+08,1657840000,315160000,2.5e+09,32,86,118
63380000,713050000,1522450000,2298880000,28,76,104
292750000,1121130000,1086120000,2.5e+09,35,100,135
335080000,1196660000,968260000,2.5e+09,36,100,136
125620000,283230000,1832060000,2240910000,38,101,139
111680000,935580000,1452740000,2.5e+09,39,99,138
53760000,2148770000,297470000,2.5e+09,37,96,133
80530000,1478900000,940570000,2.5e+09,32,96,128
45670000,899370000,1517670000,2462710000,42,107,149
9450000,335180000,2115680000,2460310000,25,75,100
162070000,2035810000,302120000,2.5e+09,40,108,148
49310000,7.21e+08,1479450000,2249760000,39,99,138
112570000,2108030000,279400000,2.5e+09,43,108,151
588180000,1571210000,340610000,2.5e+09,31,92,123
436710000,1811520000,251770000,2.5e+09,35,96,131
798960000,1148650000,552390000,2.5e+09,35,101,136
430230000,1820940000,248830000,2.5e+09,36,98,134
351160000,1592880000,555960000,2.5e+09,30,88,118
638260000,1519500000,342240000,2.5e+09,39,99,138
141090000,828340000,1526660000,2496090000,46,119,165
298590000,1753850000,447560000,2.5e+09,37,98,135
107860000,1820420000,571720000,2.5e+09,35,88,123
145440000,2112010000,242550000,2.5e+09,35,93,128
55830000,802280000,1627840000,2485950000,40,109,149
63180000,2062850000,373970000,2.5e+09,38,96,134
19350000,414310000,1552140000,1985800000,30,89,119
402680000,1918660000,178660000,2.5e+09,35,93,128
636840000,1672470000,190690000,2.5e+09,43,105,148
232160000,2074300000,193540000,2.5e+09,36,95,131
785700000,1412910000,301390000,2.5e+09,36,95,131
738790000,1431280000,329930000,2.5e+09,46,100,146
547500000,1700210000,252290000,2.5e+09,33,78,111
317550000,1916500000,265950000,2.5e+09,43,102,145
485860000,1806370000,207770000,2.5e+09,40,98,138
201650000,1555510000,742840000,2.5e+09,40,98,138
140740000,2025420000,333840000,2.5e+09,34,92,126
375320000,1069370000,1055310000,2.5e+09,39,87,126
476980000,939490000,1083530000,2.5e+09,41,93,134
59620000,1336750000,1103630000,2.5e+09,42,103,145
51250000,1557310000,891440000,2.5e+09,32,88,120
94560000,1310090000,1095350000,2.5e+09,45,104,149
23970000,124570000,2045710000,2194250000,38,103,141
34030000,1203980000,1261990000,2.5e+09,41,109,150
695660000,1363730000,440610000,2.5e+09,43,102,145
1118260000,1170420000,211320000,2.5e+09,36,90,126
985120000,1030260000,484620000,2.5e+09,41,93,134
882350000,826260000,791390000,2.5e+09,33,80,113
510540000,1246370000,743090000,2.5e+09,45,105,150
445990000,1624530000,429480000,2.5e+09,45,101,146
733190000,1028530000,738280000,2.5e+09,48,98,146
827950000,1089990000,582060000,2.5e+09,45,101,146
624160000,1186240000,689600000,2.5e+09,33,81,114
1369850000,394060000,736090000,2.5e+09,43,100,143
1131040000,677740000,691220000,2.5e+09,39,81,120
1172050000,697070000,630880000,2.5e+09,40,89,129
3.59e+08,930410000,1210590000,2.5e+09,41,91,132
491460000,1219960000,788580000,2.5e+09,44,106,150
237610000,1268880000,993510000,2.5e+09,43,100,143
37020000,398510000,2064470000,2.5e+09,42,109,151
209280000,1236130000,1054590000,2.5e+09,45,113,158
699640000,533300000,1267060000,2.5e+09,43,112,155
285040000,1334940000,880020000,2.5e+09,42,109,151
13320000,362980000,2123700000,2.5e+09,39,101,140
75610000,438160000,1986230000,2.5e+09,41,110,151
35510000,126060000,2338430000,2.5e+09,39,107,146
245640000,908860000,1345500000,2.5e+09,49,123,172
3500000,170320000,2324500000,2498320000,35,100,135
